# This file was automatically generated by http://masterlens.astro.utah.edu/ and should not be edited by hand.
# "system_name", "discovery_date", "ra_hrs", "ra_mins", "ra_secs", "ra_coord", "dec_degrees", "dec_arcmin", "dec_arcsec", "dec_coord", "lensgrade", "number_images", "theta_e", "theta_e_err", "z_lens", "z_lens_err", "z_source", "z_source_err", "vdisp", "vdisp_err"
"SDSS J0915+4211", "2011-04-29", "09", "15", "16.28", 138.81784, "+42", "11", "52.8", +42.198, "A", 2, NaN, NaN, 0.07846, 0.00002, 0.79, NaN, 176, 7
"SDSS J0915+3826", "2012-03-01", "09", "15", "39.00", 138.9125, "+38", "26", "58.5", +38.449583, "A", 0, 9.8, NaN, 0.397, NaN, 1.501, NaN, NaN, NaN
"SDSS J0919+2720", "2011-10-01", "09", "19", "26.22", 139.85927, "+27", "20", "51.04", +27.34751, "A", 0, 1.22, NaN, 0.21017, 0.00005, 0.558, NaN, NaN, NaN
"SDSS J0919+3423", "2009-02-01", "09", "19", "49", 139.95417, "+34", "23", "04.0", +34.38444, "A", 3, 6, NaN, 0.038, NaN, 0.684, NaN, NaN, NaN
"CSWA 31", "2009-02-01", "09", "21", "25.74", 140.3572627, "+18", "10", "17.33", 18.17148017, "A", 0, NaN, NaN, 0.683, NaN, NaN, NaN, NaN, NaN
"SDSS J0924+0219", "2003-08-01", "09", "24", "55.87", 141.232487, "+02", "19", "24.9", +2.323611, "A", 4, 0.87, NaN, 0.394, 0.001, 1.524, 0.001, NaN, NaN
"SDSS J0935-0003", "", "09", "35", "43.93", 143.93306, "-00", "03", "34.81", -0.05967, "A", 0, NaN, NaN, 0.34749, 0.00007, 0.467, NaN, 345, 41
"SDSS J0936+0913", "", "09", "36", "0.77", 144.00319, "+09", "13", "35.8", +9.22661, "A", 0, NaN, NaN, 0.18970, 0.00003, 0.588, NaN, 238, 12
"SDSS J0944-0147", "2011-12-15", "09", "44", "27.47", 146.11445, "-01", "47", "42.43", -1.79512, "A", 2, 0.725, NaN, 0.5390, 0.0001, 1.179, NaN, 204, 34
"SDSS J0946+1835", "2010-08-01", "09", "46", "04.79", 146.51997526, "+18", "35", "39.7", +18.59436343, "A", 2, 1.34, NaN, 0.388, NaN, 4.799, 0.001, NaN, NaN
"SDSS J0946+1006", "2011-11-01", "09", "46", "56.68", 146.73617, "+10", "06", "52.81", +10.11467, "A", 4, NaN, NaN, 0.22193, 0.00006, 0.609, NaN, 257, 20
"FBQ0951+2635", "1998-04-01", "09", "51", "22", 147.8418575, "+26", "35", "14.1", 26.5880277773, "A", 2, 0.56, NaN, 0.26, NaN, 1.24, NaN, NaN, NaN
"ACS J095139.44+684731.2", "2012-06-15", "09", "51", "39.44", 147.914333, "+68", "47", "31.2", +68.792, "A", 1, 0.77, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J0952+3434", "2010-12-01", "09", "52", "40.22", 148.16760, "+34", "34", "46.09", 34.57947, "A", 0, 6.9, NaN, 0.3491, 0.0001, 2.1896, 0.0001, NaN, NaN
"BRI0952-0115", "2000-06-01", "09", "55", "00", 148.75, "-01", "30", "05.000", -1.50139, "A", 2, 1, NaN, 0.632, NaN, 4.5, NaN, NaN, NaN
"SDSS J0955+0101", "", "09", "55", "19.72", 148.83217, "+01", "01", "44.44", +1.02901, "A", 0, NaN, NaN, 0.11093, 0.00003, 0.316, NaN, 197, 13
"SDSS J0956+5100", "", "09", "56", "29.77", 149.12406, "+51", "0", "6.7", +51.00186, "A", 0, NaN, NaN, 0.24055, 0.00005, 0.47, NaN, 297, 16
"COSMOS 5737+3424", "2008-05-01", "09", "57", "37.0", 149.404167, "+02", "34", "24", +2.573333, "A", 0, 12.0, NaN, 0.375, 0.001, NaN, NaN, NaN, NaN
"SDSS J0957+0509", "2010-12-01", "09", "57", "39.19", 149.41330, "+05", "09", "31.93", 5.15887, "A", 0, 8.0, NaN, 0.4469, 0.0002, 1.8230, 0.0003, NaN, NaN
"SDSS J0959+4416", "", "09", "59", "0.97", 149.75403, "+44", "16", "39.36", +44.2776, "A", 0, NaN, NaN, 0.23687, 0.00005, 0.531, NaN, 238, 20
"COSMOS 5914+1219", "2008-05-01", "09", "59", "4.7", 149.769583, "+02", "12", "19", +2.205278, "A", 4, 1.60, 0.01, 1.13, 0.10, NaN, NaN, NaN, NaN
"COSMOS5921+0638", "2008-05-01", "09", "59", "21.79", 149.84068, "+02", "06", "38.7", 2.11067, "A", 4, 0.62, 0.00, 0.552, 0.001, 3.35, 0.01, NaN, NaN
"J095930.93+023427.7", "2008-09-01", "09", "59", "30.93", 149.878875, "+02", "34", "27.7", +2.574361, "A", 4, 0.79, 0.02, 0.892, 0.001, NaN, NaN, NaN, NaN
"SDSS J0959+0410", "", "09", "59", "44.07", 149.93361, "+04", "10", "17", +4.17139, "A", 0, NaN, NaN, 0.12598, 0.00003, 0.535, NaN, 203, 12
"COSMOS 0012+2015", "2008-05-01", "10", "00", "12.6", 150.0525, "+02", "20", "15", +2.3375, "A", 2, 0.90, NaN, 0.378, 0.001, NaN, NaN, NaN, NaN
"COSMOS0018+3845", "2008-05-01", "10", "00", "18.39", 150.07666, "+02", "38", "44.99", 2.6458333, "A", 4, 1.32, 0.00, 0.9755, 0.0003, 3.96, 0.02, NaN, NaN
"COSMOS0038+4133", "2008-05-01", "10", "00", "38.27", 150.15948, "+02", "41", "33.84", 2.6927351, "A", 0, 0.60, 0.00, 0.738, 0.001, NaN, NaN, NaN, NaN
"COSMOS0049+5128", "2008-05-01", "10", "00", "49.26", 150.2052807, "+01", "51", "28.09", 1.8578028, "A", 0, 2.17, NaN, 0.337, NaN, 0.524, NaN, NaN, NaN
"COSMOS0050+4901", "2008-05-01", "10", "00", "50.65", 150.21104, "+02", "49", "01.89", 2.8171935, "A", 4, 1.65, 0.02, 0.960, 0.001, NaN, NaN, NaN, NaN
"COSMOS0056+1226", "2008-05-01", "10", "00", "56.78", 150.23661, "+02", "12", "25.95", 2.20721, "A", 2, 1.20, NaN, 0.361, 0.001, 0.808, 0.001, NaN, NaN
"Q0957+561", "1979-01-01", "10", "01", "20", 150.337, "+55", "53", "49.4", +55.89706, "A", 2, 6.26, NaN, 0.36, NaN, 1.41, NaN, NaN, NaN
"SDSS J1001+5027", "2005-03-01", "10", "01", "28.61", 150.3692166, "+50", "27", "56.9", +50.46579941, "A", 2, 1.35, NaN, 0.415, NaN, 1.839, NaN, NaN, NaN
"J100140.12+020040.9", "2008-09-01", "10", "01", "40.12", 150.417167, "+02", "00", "40.9", +2.011361, "A", 4, 0.81, 0.02, 0.879, 0.001, NaN, NaN, NaN, NaN
"COSMOS0211+1139", "2008-05-01", "10", "02", "11.21", 150.54673, "+02", "11", "39.47", 2.19430, "A", 2, 3.20, NaN, 0.92, 0.01, NaN, NaN, NaN, NaN
"FIRST J1004+1229", "2002-06-01", "10", "04", "24.84", 151.1035, "+12", "29", "22.3", +12.48953, "A", 2, 0.77, NaN, 0.95, 0.01, 2.65, 0.01, NaN, NaN
"SDSS J1004+4112", "2003-12-01", "10", "04", "34", 151.143142867, "+41", "12", "42.8", 41.2121094213, "A", 5, 8.14, NaN, 0.68, NaN, 1.734, 0.002, NaN, NaN
"SDSS J1005+4016", "2012-04-01", "10", "05", "22.06", 151.341917, "+40", "16", "10.1", +40.269472, "A", 0, 0.61, NaN, 0.230, NaN, 0.441, NaN, NaN, NaN
"SDSS J1011+0143", "2006-06-01", "10", "11", "29", 152.87083, "+01", "43", "23.3", 1.72314, "A", 4, 3.67, NaN, 0.331, NaN, 2.701, NaN, NaN, NaN
"LBQS1009-0252", "1993-06-01", "10", "12", "15.72", 153.0655, "-03", "07", "02.000", -3.11722, "A", 2, 1.54, NaN, 0.87, NaN, 2.74, NaN, NaN, NaN
"SDSS J1016+3859", "", "10", "16", "22.87", 154.098891114, "+38", "59", "3.3", 38.9777499948, "A", 0, NaN, NaN, 0.16795, 0.00003, 0.439, NaN, 251, 13
"Q1017-207", "1993-03-01", "10", "17", "24", 154.35, "-20", "47", "00.000", -20.78333, "A", 2, 0.85, NaN, 0.78, NaN, 2.55, NaN, NaN, NaN
"SDSS J1020+1122", "", "10", "20", "26.54", 155.11059, "+11", "22", "41.16", +11.3781, "A", 0, NaN, NaN, 0.28219, 0.00005, 0.553, NaN, 274, 19
"SDSS J1021+4913", "2006-01-01", "10", "21", "11.02", 155.29590876, "+49", "13", "30.4", +49.22509437, "A", 2, 0.59, NaN, 0.451, NaN, 1.7198, NaN, NaN, NaN
"SDSS J1023+4230", "", "10", "23", "32.25", 155.88436, "+42", "30", "1.91", +42.50053, "A", 4, NaN, NaN, 0.19114, 0.00004, 0.696, NaN, 255, 14
"FSC10214+4724", "1995-08-01", "10", "24", "34", 156.14167, "+47", "09", "11", +47.15306, "A", 2, 0.8, NaN, 0.75, NaN, 2.29, NaN, NaN, NaN
"SDSS J1029+2623", "2006-12-01", "10", "29", "13", 157.30809434, "+26", "23", "17.9", 26.38832296, "A", 3, 15.2, 0.5, 0.58, NaN, 2.197, 0.0003, NaN, NaN
"SDSS J1029+0420", "", "10", "29", "22.94", 157.34558, "+04", "20", "1.8", +4.33384, "A", 0, 1.01, 0.01, 0.10444, 0.00002, 0.615, NaN, 210, 9
"SDSS J1029+6115", "", "10", "29", "27.53", 157.36471, "+61", "15", "5.3", +61.25146, "A", 0, NaN, NaN, 0.15736, 0.00003, 0.2512, 0.0001, 228, 14
"SDSS J1032+5322", "", "10", "32", "35.84", 158.14937, "+53", "22", "34.9", +53.37634, "A", 0, 1.03, 0.01, 0.13340, 0.00004, 0.329, 0.001, 296, 14
"B1030+074", "1998-02-01", "10", "33", "34.024", 158.39177, "+07", "11", "26.13", +7.19059, "A", 2, 1.65, NaN, 0.599, NaN, 1.535, NaN, NaN, NaN
"SDSS J1037+3517", "2011-04-29", "10", "37", "45.03", 159.43762, "+35", "17", "30.98", +35.29194, "A", 2, NaN, NaN, 0.12171, 0.00003, 0.448, NaN, 220, 12
"SDSS J1038+4849", "2008-07-01", "10", "38", "43.58", 159.6816, "+48", "49", "17.76", 48.8216, "A", 2, 8.4, 0.3, 0.4256, NaN, 0.966, NaN, NaN, NaN
"SDSS J1050+0017", "2012-03-01", "10", "50", "39.90", 162.66625, "+00", "17", "07.1", +0.285306, "A", 0, 16.1, NaN, 0.6, NaN, NaN, NaN, NaN, NaN
"SDSS J1054+2733", "2010-04-01", "10", "54", "40.83", 163.67016587, "+27", "33", "06.4", +27.55178785, "A", 2, 0.598, NaN, NaN, NaN, 1.452, 0.002, NaN, NaN
"RCS2 J1055+5548", "2012-03-01", "10", "55", "04.59", 163.769125, "+55", "48", "23.3", +55.806472, "A", 0, 10.0, NaN, 0.466, NaN, 1.250, NaN, NaN, NaN
"SDSS J1055+4628", "2010-04-01", "10", "55", "45.45", 163.93938391, "+46", "28", "39.4", +46.47763753, "A", 2, 0.6, NaN, 0.388, NaN, 1.249, 0.001, NaN, NaN
"HERMES J105751.1+573027", "2011-05-01", "10", "57", "51.1", 164.462917, "+57", "30", "27", +57.5075, "A", 4, 4.10, 0.02, NaN, NaN, 2.9574, NaN, NaN, NaN
"SDSS J1100+5329", "", "11", "00", "24.39", 165.10161, "+53", "29", "13.9", +53.48719, "A", 0, 1.52, 0.01, 0.31712, 0.00007, 0.858, 0.001, 187, 23
"HST J110307.14+532042.6", "2009-05-01", "11", "03", "7.14", 165.77975, "+53", "20", "42.6", +53.345167, "A", 2, 1.24, 0.06, 0.41, 0.03, 1.12, 0.37, NaN, NaN
"SDSS J1103+5322", "", "11", "03", "8.21", 165.78421, "+53", "22", "28.2", +53.3745, "A", 0, 1.02, 0.01, 0.15824, 0.00003, 0.735, 0.001, 196, 12
"HE1104-1805", "1993-10-01", "11", "06", "33.45", 166.6375, "-18", "21", "24.20", -18.35667, "A", 2, 1.40, NaN, 0.729, NaN, 2.319, NaN, NaN, NaN
"SDSS J1106+5228", "", "11", "06", "46.15", 166.69229, "+52", "28", "37.8", +52.47718, "A", 0, 1.23, 0.01, 0.09551, 0.00002, 0.407, 0.001, 262, 9
"SDSS J1110+6459", "2012-03-01", "11", "10", "17.70", 167.57375, "+64", "59", "47.8", +64.996611, "A", 0, 8.4, NaN, 0.659, NaN, NaN, NaN, NaN, NaN
"SDSS J1112+0826", "", "11", "12", "50.6", 168.21084, "+08", "26", "10.4", +8.43623, "A", 0, 1.49, 0.01, 0.27289, 0.00007, 0.629, 0.001, 320, 20
"SDSS J1115+5319", "2012-03-01", "11", "15", "14.85", 168.811875, "+53", "19", "54.6", +53.331833, "A", 0, 21.9, NaN, 0.466, NaN, NaN, NaN, NaN, NaN
"HE1113-0641", "2008-01-01", "11", "16", "23.5", 169.097917, "-06", "57", "39.0", -6.960833, "A", 4, 0.332, NaN, 0.7, NaN, 1.235, NaN, NaN, NaN
"SDSS J1117+4704", "2011-04-29", "11", "17", "35.37", 169.39739, "+47", "04", "7.43", +47.06873, "A", 4, 0.75, NaN, 0.16888, 0.00003, 0.405, NaN, 188, 10
"PG1115+080", "1980-06-01", "11", "18", "17", 169.57083, "+07", "45", "57.7", +7.76603, "A", 4, 2.32, NaN, 0.31, NaN, 1.72, NaN, 281, 25
"SDSS J1128+2402", "2012-05-01", "11", "28", "18.49", 172.07704362, "+24", "02", "17.4", 24.03818459, "A", 0, 0.42, NaN, NaN, NaN, 1.608, 0.002, NaN, NaN
"B1127+385", "1999-03-01", "11", "30", "00", 172.5, "+38", "12", "03.1", +38.20086, "A", 2, 0.71, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"RXJ1131-1231", "2003-07-01", "11", "31", "51", 172.964, "-12", "31", "57", -12.533, "A", 4, 1.84, NaN, 0.295, NaN, 0.658, NaN, NaN, NaN
"MG1131+0456", "1988-06-01", "11", "31", "56", 172.98333, "+04", "55", "49.8", +4.9305, "A", 2, 0.819, NaN, 0.844, NaN, NaN, NaN, NaN, NaN
"SDSS J1131+1915", "2010-04-01", "11", "31", "57.72", 172.99052035, "+19", "15", "27.7", +19.25769689, "A", 2, 0.68, NaN, NaN, NaN, 2.915, 0.001, NaN, NaN
"SDSS J1134+6027", "", "11", "34", "5.89", 173.52456, "+60", "27", "13.5", +60.45375, "A", 0, 1.10, 0.01, 0.15280, 0.00003, 0.474, 0.001, 239, 11
"CSWA 18", "2009-01-01", "11", "34", "6.74", 173.52808224, "+25", "33", "35.17", 25.55977002, "A", 0, NaN, NaN, 0.07, NaN, NaN, NaN, NaN, NaN
"SDSS J1135+3720", "2011-04-29", "11", "35", "6.88", 173.77867, "+37", "20", "23.89", 37.33997, "A", 2, NaN, NaN, 0.16242, 0.00004, 0.402, NaN, 213, 15
"SDSS J1138+0314", "2008-02-01", "11", "38", "03.73", 174.51557327, "+03", "14", "57.8", +3.24939292, "A", 4, 0.664, NaN, 0.445, 0.001, 2.4427, 0.0014, NaN, NaN
"CSWA 17", "2009-01-01", "11", "38", "8.95", 174.53730655, "+27", "54", "30.71", 27.9085314, "A", 0, 9.8, NaN, 0.451, NaN, 1.334, NaN, NaN, NaN
"SDSS J1142+1001", "", "11", "42", "57.35", 175.73893, "+10", "01", "11.8", +10.01996, "A", 0, 0.98, 0.01, 0.22187, 0.00006, 0.504, 0.001, 221, 22
"SDSS J1143-0144", "", "11", "43", "29.64", 175.87349, "-01", "44", "30.0", -1.74166, "A", 0, 1.68, 0.01, 0.10605, 0.00001, 0.402, 0.001, 269, 5
"HST J114331.46-014508.0", "2009-05-01", "11", "43", "31.46", 175.88107, "-01", "45", "8.0", -1.752222, "A", 2, 1.45, 0.07, 0.10361, 0.00002, 0.91, 0.56, 238, 9
"HATLAS J114637.9-001132", "2012-02-08", "11", "46", "37.9", 176.657913, "-00", "11", "32.0", -0.192222, "A", 0, NaN, NaN, 1.06, 0.16, 3.2592, 0.0010, NaN, NaN
"SDSS J114833.14+193003.2", "2009-12-10", "11", "48", "33.14", 177.138083, "+19", "30", "03.2", +19.500889, "A", 0, 5.0, NaN, 0.4457, 0.0003, 2.3811, 0.0003, NaN, NaN
"MACS J1149.5+2223", "2009-06-01", "11", "49", "35.093", 177.396221, "+22", "24", "10.94", +22.403039, "A", 0, 27, 3, 0.544, NaN, NaN, NaN, NaN, NaN
"SDSS J1152+3313", "2012-03-01", "11", "52", "00.15", 178.000625, "+33", "13", "42.1", +33.228361, "A", 0, 8.7, NaN, 0.362, NaN, 2.491, NaN, NaN, NaN
"SDSS J1152+0930", "2012-03-01", "11", "52", "47.38", 178.197417, "+09", "30", "14.7", +9.504083, "A", 0, 4.5, NaN, 0.517, NaN, NaN, NaN, NaN, NaN
"SDSS J1153+4612", "", "11", "53", "10.79", 178.29494, "+46", "12", "5.3", +46.20147, "A", 0, 1.05, 0.01, 0.17969, 0.00004, 0.875, NaN, 226, 15
"NSC J115347+425155", "2008-02-01", "11", "53", "49.49", 178.456208, "+42", "50", "43.1", +42.845306, "A", 0, NaN, NaN, 0.327, NaN, NaN, NaN, NaN, NaN
"SDSS J1155+6346", "2004-03-01", "11", "55", "17.35", 178.82228135, "+63", "46", "22.0", +63.77279854, "A", 2, 0.59, NaN, 0.176, NaN, 2.8890, 0.0005, NaN, NaN
"B1152+200", "1999-06-01", "11", "55", "18", 178.825, "+19", "39", "42.2", +19.66172, "A", 2, 1.59, NaN, 0.439, NaN, 1.019, NaN, NaN, NaN
"SDSS J1159-0007", "2011-12-15", "11", "59", "44.63", 179.93596, "-00", "07", "28.2", -0.1245, "A", 2, 0.683, NaN, 0.5793, 0.0001, 1.346, NaN, 165, 41
"SDSS J1203+2535", "2011-04-29", "12", "03", "56.33", 180.98472, "+25", "35", "49.13", +25.59698, "A", 4, NaN, NaN, 0.10112, 0.00002, 0.856, NaN, 156, 7
"SDSS J1204+0358", "", "12", "04", "44.07", 181.18363, "+03", "58", "6.4", +3.96845, "A", 0, 1.31, 0.01, 0.16437, 0.00004, 0.631, 0.001, 267, 17
"SDSS J1205+4910", "2006-02-01", "12", "05", "40.44", 181.41848, "+49", "10", "29.38", +49.174828, "A", 2, 1.2234, 0.0005, 0.21498, 0.00005, 0.481, NaN, 296, 14
"MACS J1206.2-0847", "2009-05-01", "12", "06", "12.15", 181.550625, "-08", "48", "03.4", -8.800944, "A", 3, 15, NaN, 0.4385, NaN, NaN, NaN, NaN, NaN
"SDSS J1206+4332", "2005-03-01", "12", "06", "29.65", 181.62352618, "+43", "32", "17.6", +43.53821274, "A", 2, 1.39, NaN, 0.748, NaN, 1.789, NaN, NaN, NaN
"CSWA 8", "2008-09-01", "12", "09", "23.69", 182.34869727, "+26", "40", "46.72", 26.6796452, "A", 0, 8.8, NaN, 0.558, NaN, 1.018, NaN, NaN, NaN
"SDSS J1213+6708", "2008-08-01", "12", "13", "40.6", 183.41915, "+67", "08", "28.93", +67.14137, "A", 2, 1.416, 0.005, 0.12285, 0.00002, 0.64, NaN, 278, 10
"HST J121346.57+670833.3", "2009-05-01", "12", "13", "46.57", 183.444042, "+67", "08", "33.3", +67.142583, "A", 2, 0.65, 0.03, 0.33, 0.08, 1.44, 0.57, NaN, NaN
"SDSS J1215+0047", "2011-12-15", "12", "15", "4.44", 183.76849, "+00", "47", "26.05", +0.79057, "A", 2, 1.368, NaN, 0.6423, 0.0002, 1.297, NaN, 262, 45
"SDSS J1216+3529", "2008-02-01", "12", "16", "46.04", 184.19187014, "+35", "29", "41.5", +35.49486106, "A", 2, 0.77, NaN, 0.5, NaN, 2.0166, 0.0005, NaN, NaN
"SDSS J1217+3641", "2008-02-01", "12", "17", "31.94", 184.383083, "+36", "41", "12.3", +36.68675, "A", 0, NaN, NaN, 0.364, NaN, NaN, NaN, NaN, NaN
"SDSS J1218+0830", "2008-08-01", "12", "18", "26.69", 184.61121, "+08", "30", "50.33", +8.51398, "A", 2, 1.452, 0.003, 0.13502, 0.00002, 0.717, NaN, 222, 10
"SDSS J1221+3806", "2011-12-15", "12", "21", "51.92", 185.46632, "+38", "06", "10.55", +38.10293, "A", 2, 0.699, NaN, 0.5348, 0.0002, 1.284, NaN, 187, 48
"ACS J122332.64-123940.3", "2012-06-15", "12", "23", "32.64", 185.886, "-12", "39", "40.3", -12.661194, "A", 1, 0.36, NaN, NaN, NaN, NaN, NaN, NaN, NaN
"SDSS J1226-0006", "2008-02-01", "12", "26", "08.02", 186.53343659, "-00", "06", "02.2", -0.10063021, "A", 2, 0.568, NaN, 0.516, 0.001, 1.1229, 0.0002, NaN, NaN
"SDSS J1226+2149", "2012-03-01", "12", "26", "51.11", 186.712958, "+21", "49", "52.3", +21.831194, "A", 0, 14.0, NaN, 0.435, NaN, 1.605, NaN, NaN, NaN
